ROI_index	Module
1	2
2	1
3	1
4	3
5	1
6	3
7	1
8	3
9	2
10	2
11	1
12	1
13	3
14	1
15	1
16	2
17	3
18	3
19	1
20	3
21	3
22	1
23	3
24	3
25	3
26	2
27	2
28	3
29	1
30	2
31	2
32	1
33	3
34	3
35	3
36	2
37	2
38	1
39	1
40	1
41	2
42	1
43	1
44	2
45	3
46	1
47	1
48	2
49	1
50	3
51	1
52	2
53	1
54	2
55	3
56	1
57	1
58	1
59	3
60	3
61	1
62	2
63	2
64	3
65	3
66	3
67	3
68	2
69	1
70	2
71	1
72	1
73	1
74	1
75	1
76	3
77	1
78	1
79	3
80	1
81	1
82	1
83	3
84	1
85	2
86	2
87	2
88	3
89	2
90	3
91	1
92	2
93	2
94	1
95	1
96	3
97	2
98	3
99	1
100	2
101	1
102	2
103	2
104	1
105	2
106	1
107	1
108	2
109	1
110	2
111	3
112	1
113	1
114	2
115	3
116	3
117	1
118	2
119	3
120	1
121	3
122	2
123	3
124	1
125	3
126	1
127	1
128	3
129	1
130	1
131	2
132	2
133	1
134	3
135	1
136	2
137	3
138	2
139	1
140	1
141	1
142	2
143	2
144	3
145	2
146	3
147	1
148	1
149	1
150	2
151	1
152	2
153	1
154	3
155	2
156	3
157	3
158	2
159	2
160	1
161	3
162	2
163	2
164	3
165	3
166	1
167	1
168	3
169	1
170	2
171	3
172	2
173	1
174	1
175	2
176	2
177	2
178	3
179	2
180	3
181	1
182	3
183	1
184	3
185	3
186	1
187	1
188	3
189	2
190	2
191	1
192	2
193	1
194	2
195	2
196	1
197	3
198	2
199	2
200	3
