Id,Module,pc,Label
0,2,0.808498,CC200_ROI_001
1,1,0.781178,CC200_ROI_002
2,1,0.796977,CC200_ROI_003
3,4,0.823452,CC200_ROI_004
4,1,0.767450,CC200_ROI_005
5,5,0.832549,CC200_ROI_006
6,3,0.822840,CC200_ROI_007
7,5,0.827339,CC200_ROI_008
8,6,0.838575,CC200_ROI_009
9,6,0.835450,CC200_ROI_010
10,1,0.796757,CC200_ROI_011
11,3,0.814279,CC200_ROI_012
12,3,0.835383,CC200_ROI_013
13,1,0.799609,CC200_ROI_014
14,7,0.812441,CC200_ROI_015
15,2,0.833173,CC200_ROI_016
16,3,0.830695,CC200_ROI_017
17,7,0.838223,CC200_ROI_018
18,1,0.803699,CC200_ROI_019
19,4,0.825921,CC200_ROI_020
20,5,0.825103,CC200_ROI_021
21,1,0.777589,CC200_ROI_022
22,3,0.827200,CC200_ROI_023
23,4,0.818424,CC200_ROI_024
24,3,0.827133,CC200_ROI_025
25,2,0.814670,CC200_ROI_026
26,1,0.804831,CC200_ROI_027
27,5,0.823345,CC200_ROI_028
28,1,0.820365,CC200_ROI_029
29,6,0.831035,CC200_ROI_030
30,5,0.821130,CC200_ROI_031
31,1,0.765071,CC200_ROI_032
32,4,0.823602,CC200_ROI_033
33,3,0.829712,CC200_ROI_034
34,4,0.804783,CC200_ROI_035
35,6,0.839441,CC200_ROI_036
36,6,0.827067,CC200_ROI_037
37,3,0.819368,CC200_ROI_038
38,3,0.815169,CC200_ROI_039
39,1,0.814074,CC200_ROI_040
40,6,0.831491,CC200_ROI_041
41,3,0.811128,CC200_ROI_042
42,1,0.767915,CC200_ROI_043
43,2,0.815018,CC200_ROI_044
44,7,0.839356,CC200_ROI_045
45,1,0.793213,CC200_ROI_046
46,7,0.832042,CC200_ROI_047
47,6,0.822668,CC200_ROI_048
48,1,0.780322,CC200_ROI_049
49,5,0.832738,CC200_ROI_050
50,1,0.746740,CC200_ROI_051
51,6,0.814516,CC200_ROI_052
52,1,0.804230,CC200_ROI_053
53,2,0.808888,CC200_ROI_054
54,4,0.833974,CC200_ROI_055
55,3,0.818202,CC200_ROI_056
56,1,0.803422,CC200_ROI_057
57,1,0.786734,CC200_ROI_058
58,4,0.824216,CC200_ROI_059
59,5,0.826440,CC200_ROI_060
60,3,0.803999,CC200_ROI_061
61,1,0.810078,CC200_ROI_062
62,2,0.830466,CC200_ROI_063
63,5,0.828195,CC200_ROI_064
64,5,0.829357,CC200_ROI_065
65,4,0.819222,CC200_ROI_066
66,4,0.826437,CC200_ROI_067
67,6,0.836998,CC200_ROI_068
68,4,0.823030,CC200_ROI_069
69,2,0.813915,CC200_ROI_070
70,1,0.813804,CC200_ROI_071
71,1,0.754243,CC200_ROI_072
72,3,0.826020,CC200_ROI_073
73,1,0.788170,CC200_ROI_074
74,3,0.819798,CC200_ROI_075
75,5,0.830556,CC200_ROI_076
76,6,0.822781,CC200_ROI_077
77,1,0.747820,CC200_ROI_078
78,4,0.829945,CC200_ROI_079
79,6,0.826552,CC200_ROI_080
80,2,0.822051,CC200_ROI_081
81,1,0.751626,CC200_ROI_082
82,4,0.822996,CC200_ROI_083
83,7,0.833865,CC200_ROI_084
84,2,0.820075,CC200_ROI_085
85,6,0.748460,CC200_ROI_086
86,1,0.800889,CC200_ROI_087
87,4,0.817235,CC200_ROI_088
88,2,0.816158,CC200_ROI_089
89,5,0.825158,CC200_ROI_090
90,1,0.751148,CC200_ROI_091
91,1,0.808819,CC200_ROI_092
92,5,0.822268,CC200_ROI_093
93,7,0.831042,CC200_ROI_094
94,3,0.803940,CC200_ROI_095
95,5,0.823496,CC200_ROI_096
96,2,0.820446,CC200_ROI_097
97,4,0.821328,CC200_ROI_098
98,3,0.808513,CC200_ROI_099
99,2,0.827955,CC200_ROI_100
100,1,0.747415,CC200_ROI_101
101,2,0.795901,CC200_ROI_102
102,6,0.833181,CC200_ROI_103
103,1,0.769877,CC200_ROI_104
104,2,0.814359,CC200_ROI_105
105,1,0.816310,CC200_ROI_106
106,4,0.814681,CC200_ROI_107
107,2,0.813451,CC200_ROI_108
108,1,0.743953,CC200_ROI_109
109,1,0.804027,CC200_ROI_110
110,5,0.829213,CC200_ROI_111
